epoch,percentage
0.0,0.0031700713705848063
1.0,0.003211690039467853
2.0,0.003320666898482778
3.0,0.003362541718670062
4.0,0.003367811691187392
5.0,0.00338066414429125
6.0,0.0033992615776056493
7.0,0.0034452676471190664
8.0,0.0034679206233148405
9.0,0.0034701161102127925
10.0,0.003471594954098281
11.0,0.0034659886573750395
12.0,0.003459068105703731
13.0,0.0034819814763378146
14.0,0.003503606497473954
15.0,0.0035246432862340174
16.0,0.0035204003754849386
17.0,0.003515778485866384
18.0,0.0035270880014279834
19.0,0.003526456891065496
20.0,0.00353092178472339
21.0,0.003530012190772077
22.0,0.0035265772620794314
23.0,0.0035210598478488545
24.0,0.0034927690864085675
25.0,0.0035022107296871366
26.0,0.0034972857909667076
27.0,0.0034948185201653065
28.0,0.0034956934990755073
29.0,0.0017789978299882088
30.0,0.0030940719262540317
31.0,0.0033190757232058063
32.0,0.003372613579019735
33.0,0.003390799428329157
34.0,0.0033775242250780268
35.0,0.0033768689958481833
36.0,0.003368512031632105
37.0,0.0033839677591505127
38.0,0.0033864926472461534
39.0,0.0033769630147663034
40.0,0.0033608178896226315
41.0,0.0033313703158406303
42.0,0.003307630650676751
43.0,0.003285943992435146
44.0,0.0032661935432674134
45.0,0.003241723612397471
46.0,0.0032250346961240554
47.0,0.0031941210078587816
48.0,0.003174870355220153
49.0,0.0031561391515210653
50.0,0.0031334745625373043
51.0,0.003116007142823113
52.0,0.0030985220806040966
53.0,0.0030730422838250366
54.0,0.003057197081263396
55.0,0.003034044085215672
56.0,0.0030142136864691103
57.0,0.0030053381666048738
58.0,0.0029799514954525507
59.0,0.002971741254346223
60.0,0.0029608377397184527
61.0,0.0029493042313424246
62.0,0.002950666500702358
63.0,0.002945511986096354
64.0,0.0029335141895237187
65.0,0.00292649202595753
66.0,0.0029141029677588943
67.0,0.0029083126530106388
68.0,0.0028980509682419585
69.0,0.0028866608331329924
70.0,0.0028848762602714795
71.0,0.0028775305019015946
72.0,0.002871241730561311
73.0,0.002877201100703906
74.0,0.0028854399271345077
75.0,0.0028932129021085815
76.0,0.0029066488978087526
77.0,0.0029096398606837676
78.0,0.002915847119185301
79.0,0.002932956105731838
80.0,0.002948223572091159
81.0,0.002969978343800761
82.0,0.0029829784133057536
83.0,0.0029974564334048514
84.0,0.003008436994414454
85.0,0.003036868225924806
86.0,0.0030814791976199437
87.0,0.003122027480102636
88.0,0.0031427551900439863
89.0,0.003174885094527981
90.0,0.0031955969485472735
91.0,0.0032335642889000068
92.0,0.003253585182034113
93.0,0.0033009173426064293
94.0,0.0033272323668291203
95.0,0.0033576031572560335
